murX,murY,murZ,rightfemurX,rightfemurY,rightfemurZ,murX,murY,murZ,murX,murY,murZ,leftfemurX,leftfemurY,leftfemurZ,murX,murY,murZ,murX,murY,murZ,upperspineX,upperspineY,upperspineZ,neckX,neckY,neckZ,sphnosetipX,sphnosetipY,sphnosetipZ,sphheadtopX,sphheadtopY,sphheadtopZ,leftshoulderX,leftshoulderY,leftshoulderZ,leftelbowX,leftelbowY,leftelbowZ,leftwristX,leftwristY,leftwristZ,rightshoulderX,rightshoulderY,rightshoulderZ,rightelbowX,rightelbowY,rightelbowZ,rightwristX,rightwristY,rightwristZ
0.0,-0.14,113.91,12.77,-0.14,113.91,0.0,-0.14,113.91,0.0,-0.14,113.91,-12.77,-0.14,113.91,0.0,-0.14,113.91,0.0,-0.14,113.91,0.01,0.0,149.37,0.03,0.0,171.8,-0.08,17.38,188.21,-0.08,5.88,209.71,-18.41,1.04,166.3,-23.59,-4.05,135.59,-9.74,22.13,129.22,18.53,0.03,166.58,23.31,-3.61,135.6,8.36,22.23,130.45
0.0,-0.14,113.91499999999999,12.77,-0.14,113.91,0.0,-0.14,113.91499999999999,0.0,-0.14,113.91499999999999,-12.77,-0.14,113.92,0.0,-0.14,113.91499999999999,0.0,-0.14,113.91499999999999,0.03,-0.07,149.37,0.08,-0.17,171.8,-0.01,17.17,188.24,0.02,5.62,209.72,-18.37,0.85,166.33,-23.62,-3.55,135.52,-9.41,22.63,129.99,18.57,-0.05,166.55,23.58,-1.8,135.44,9.01,24.71,133.74
0.0,-0.14,113.91499999999999,12.77,-0.14,113.91,0.0,-0.14,113.91499999999999,0.0,-0.14,113.91499999999999,-12.77,-0.14,113.92,0.0,-0.14,113.91499999999999,0.0,-0.14,113.91499999999999,0.05,-0.13,149.37,0.13,-0.33,171.8,0.03,16.97,188.27,0.11,5.38,209.73,-18.33,0.65,166.34,-23.62,-2.98,135.44,-9.01,23.16,130.86,18.61,-0.1,166.52,23.9,0.0,135.41,9.77,26.75,137.16
0.0,-0.14,113.91499999999999,12.77,-0.14,113.91,0.0,-0.14,113.91499999999999,0.0,-0.14,113.91499999999999,-12.77,-0.14,113.92,0.0,-0.14,113.91499999999999,0.0,-0.14,113.91499999999999,0.06,-0.19,149.37,0.18,-0.5,171.79,0.07,16.76,188.3,0.19,5.14,209.74,-18.29,0.46,166.36,-23.58,-2.38,135.38,-8.57,23.69,131.78,18.65,-0.18,166.48,24.22,1.73,135.48,10.65,28.33,140.67
0.0,-0.14,113.91,12.77,-0.14,113.9,0.0,-0.14,113.91,0.0,-0.14,113.91,-12.77,-0.14,113.92,0.0,-0.14,113.91,0.0,-0.14,113.91,0.08,-0.25,149.37,0.23,-0.66,171.79,0.12,16.56,188.33,0.28,4.9,209.75,-18.25,0.26,166.38,-23.56,-1.78,135.34,-8.15,24.18,132.71,18.68,-0.24,166.45,24.6,3.42,135.66,11.63,29.44,144.2
0.0,-0.14,113.91,12.77,-0.14,113.9,0.0,-0.14,113.91,0.0,-0.14,113.91,-12.77,-0.14,113.92,0.0,-0.14,113.91,0.0,-0.14,113.91,0.1,-0.32,149.37,0.28,-0.83,171.79,0.17,16.35,188.36,0.37,4.65,209.75,-18.21,0.06,166.4,-23.53,-1.25,135.32,-7.79,24.57,133.57,18.72,-0.31,166.41,25.02,5.04,135.96,12.68,30.09,147.71
0.0,-0.14,113.915,12.77,-0.14,113.9,0.0,-0.14,113.915,0.0,-0.14,113.915,-12.77,-0.14,113.93,0.0,-0.14,113.915,0.0,-0.14,113.915,0.11,-0.38,149.37,0.32,-0.99,171.79,0.19,16.16,188.39,0.42,4.43,209.76,-18.17,-0.14,166.4,-23.49,-0.85,135.31,-7.5,24.87,134.28,18.75,-0.37,166.39,25.48,6.58,136.35,13.79,30.3,151.14
0.0,-0.14,113.915,12.77,-0.14,113.9,0.0,-0.14,113.915,0.0,-0.14,113.915,-12.77,-0.14,113.93,0.0,-0.14,113.915,0.0,-0.14,113.915,0.13,-0.44,149.37,0.37,-1.15,171.78,0.25,15.95,188.41,0.51,4.18,209.76,-18.13,-0.33,166.42,-23.46,-0.59,135.32,-7.33,25.06,134.82,18.79,-0.44,166.36,25.97,8.03,136.82,14.93,30.07,154.43
0.0,-0.14,113.91,12.77,-0.14,113.89,0.0,-0.14,113.91,0.0,-0.14,113.91,-12.77,-0.14,113.93,0.0,-0.14,113.91,0.0,-0.14,113.91,0.15,-0.5,149.37,0.41,-1.32,171.78,0.28,15.75,188.44,0.58,3.94,209.77,-18.09,-0.53,166.44,-23.44,-0.53,135.33,-7.31,25.12,135.1,18.83,-0.5,166.33,26.48,9.39,137.35,16.08,29.44,157.55
0.0,-0.14,113.91,12.77,-0.14,113.89,0.0,-0.14,113.91,0.0,-0.14,113.91,-12.77,-0.14,113.93,0.0,-0.14,113.91,0.0,-0.14,113.91,0.16,-0.57,149.37,0.46,-1.48,171.77,0.33,15.55,188.47,0.66,3.7,209.77,-18.05,-0.72,166.45,-23.42,-0.6,135.36,-7.38,25.1,135.23,18.86,-0.57,166.3,27.03,10.65,137.96,17.22,28.44,160.44
