frame,seconds,leftfemurX,leftfemurY,leftfemurZ,rightfemurX,rightfemurY,rightfemurZ,waistX,waistY,waistZ,upperspineX,upperspineY,upperspineZ,rightshoulderX,rightshoulderY,rightshoulderZ,rightelbowX,rightelbowY,rightelbowZ,rightwristX,rightwristY,rightwristZ,leftshoulderX,leftshoulderY,leftshoulderZ,leftelbowX,leftelbowY,leftelbowZ,leftwristX,leftwristY,leftwristZ,neckX,neckY,neckZ,headbaseX,headbaseY,headbaseZ,sphnosetipX,sphnosetipY,sphnosetipZ,sphheadtopX,sphheadtopY,sphheadtopZ
0,0,-12.77,-0.14,113.91,12.77,-0.14,113.91,0,0,130.96,0.01,0,149.37,18.53,0.03,166.58,23.31,-3.61,135.6,8.36,22.23,130.45,-18.41,1.04,166.3,-23.59,-4.05,135.59,-9.74,22.13,129.22,0.03,0,171.8,0.03,0,177.7,-0.08,17.38,188.21,-0.08,5.88,209.71
1,0.033,-12.77,-0.14,113.92,12.77,-0.14,113.91,0,-0.01,130.96,0.03,-0.07,149.37,18.57,-0.05,166.55,23.58,-1.8,135.44,9.01,24.71,133.74,-18.37,0.85,166.33,-23.62,-3.55,135.52,-9.41,22.63,129.99,0.08,-0.17,171.8,0.09,-0.19,177.7,-0.01,17.17,188.24,0.02,5.62,209.72
2,0.067,-12.77,-0.14,113.92,12.77,-0.14,113.91,0.01,-0.02,130.96,0.05,-0.13,149.37,18.61,-0.1,166.52,23.9,0,135.41,9.77,26.75,137.16,-18.33,0.65,166.34,-23.62,-2.98,135.44,-9.01,23.16,130.86,0.13,-0.33,171.8,0.15,-0.37,177.7,0.03,16.97,188.27,0.11,5.38,209.73
3,0.1,-12.77,-0.14,113.92,12.77,-0.14,113.91,0.01,-0.03,130.96,0.06,-0.19,149.37,18.65,-0.18,166.48,24.22,1.73,135.48,10.65,28.33,140.67,-18.29,0.46,166.36,-23.58,-2.38,135.38,-8.57,23.69,131.78,0.18,-0.5,171.79,0.2,-0.56,177.7,0.07,16.76,188.3,0.19,5.14,209.74
4,0.133,-12.77,-0.14,113.92,12.77,-0.14,113.9,0.01,-0.04,130.96,0.08,-0.25,149.37,18.68,-0.24,166.45,24.6,3.42,135.66,11.63,29.44,144.2,-18.25,0.26,166.38,-23.56,-1.78,135.34,-8.15,24.18,132.71,0.23,-0.66,171.79,0.26,-0.74,177.7,0.12,16.56,188.33,0.28,4.9,209.75
5,0.167,-12.77,-0.14,113.92,12.77,-0.14,113.9,0.02,-0.05,130.96,0.1,-0.32,149.37,18.72,-0.31,166.41,25.02,5.04,135.96,12.68,30.09,147.71,-18.21,0.06,166.4,-23.53,-1.25,135.32,-7.79,24.57,133.57,0.28,-0.83,171.79,0.32,-0.92,177.69,0.17,16.35,188.36,0.37,4.65,209.75
6,0.2,-12.77,-0.14,113.93,12.77,-0.14,113.9,0.02,-0.06,130.96,0.11,-0.38,149.37,18.75,-0.37,166.39,25.48,6.58,136.35,13.79,30.3,151.14,-18.17,-0.14,166.4,-23.49,-0.85,135.31,-7.5,24.87,134.28,0.32,-0.99,171.79,0.36,-1.1,177.69,0.19,16.16,188.39,0.42,4.43,209.76
7,0.233,-12.77,-0.14,113.93,12.77,-0.14,113.9,0.02,-0.07,130.96,0.13,-0.44,149.37,18.79,-0.44,166.36,25.97,8.03,136.82,14.93,30.07,154.43,-18.13,-0.33,166.42,-23.46,-0.59,135.32,-7.33,25.06,134.82,0.37,-1.15,171.78,0.42,-1.29,177.69,0.25,15.95,188.41,0.51,4.18,209.76
8,0.267,-12.77,-0.14,113.93,12.77,-0.14,113.89,0.03,-0.08,130.96,0.15,-0.5,149.37,18.83,-0.5,166.33,26.48,9.39,137.35,16.08,29.44,157.55,-18.09,-0.53,166.44,-23.44,-0.53,135.33,-7.31,25.12,135.1,0.41,-1.32,171.78,0.47,-1.47,177.68,0.28,15.75,188.44,0.58,3.94,209.77
9,0.3,-12.77,-0.14,113.93,12.77,-0.14,113.89,0.03,-0.09,130.96,0.16,-0.57,149.37,18.86,-0.57,166.3,27.03,10.65,137.96,17.22,28.44,160.44,-18.05,-0.72,166.45,-23.42,-0.6,135.36,-7.38,25.1,135.23,0.46,-1.48,171.77,0.52,-1.65,177.67,0.33,15.55,188.47,0.66,3.7,209.77
