"frame","seconds","leftfemurX","leftfemurY","leftfemurZ","rightfemurX","rightfemurY","rightfemurZ","waistX","waistY","waistZ","upperspineX","upperspineY","upperspineZ","rightshoulderX","rightshoulderY","rightshoulderZ","rightelbowX","rightelbowY","rightelbowZ","rightwristX","rightwristY","rightwristZ","leftshoulderX","leftshoulderY","leftshoulderZ","leftelbowX","leftelbowY","leftelbowZ","leftwristX","leftwristY","leftwristZ","neckX","neckY","neckZ","headbaseX","headbaseY","headbaseZ","sphnosetipX","sphnosetipY","sphnosetipZ","sphheadtopX","sphheadtopY","sphheadtopZ"
0,0.000,-12.77,-0.14,113.91,12.77,-0.14,113.91,0.00,0.00,130.96,0.01,0.00,149.37,18.53,0.03,166.58,23.31,-3.61,135.60,8.36,22.23,130.45,-18.41,1.04,166.30,-23.59,-4.05,135.59,-9.74,22.13,129.22,0.03,0.00,171.80,0.03,0.00,177.70,-0.08,17.38,188.21,-0.08,5.88,209.71
1,0.033,-12.77,-0.14,113.91,12.77,-0.14,113.91,-0.00,0.00,130.96,0.01,0.00,149.37,18.55,0.22,166.65,23.30,-1.73,135.51,8.36,24.49,132.78,-18.42,0.93,166.30,-23.61,-3.58,135.50,-9.44,22.62,129.93,0.03,0.00,171.80,0.03,0.01,177.70,-0.05,17.40,188.18,-0.10,5.94,209.70
2,0.067,-12.77,-0.14,113.91,12.77,-0.14,113.91,-0.00,0.00,130.96,0.00,0.01,149.37,18.54,0.43,166.74,23.29,0.15,135.54,8.40,26.54,135.19,-18.45,0.85,166.26,-23.60,-3.04,135.37,-9.06,23.13,130.71,0.00,0.03,171.80,-0.01,0.05,177.70,-0.06,17.48,188.13,-0.19,6.08,209.68
3,0.100,-12.77,-0.14,113.91,12.77,-0.14,113.91,-0.00,0.00,130.96,-0.00,0.01,149.37,18.55,0.62,166.81,23.24,2.03,135.63,8.47,28.40,137.72,-18.45,0.74,166.25,-23.55,-2.45,135.27,-8.66,23.68,131.56,-0.00,0.04,171.80,-0.02,0.07,177.70,-0.05,17.52,188.09,-0.25,6.17,209.67
4,0.133,-12.77,-0.14,113.91,12.77,-0.14,113.91,-0.00,0.00,130.96,-0.00,0.02,149.37,18.55,0.82,166.88,23.23,3.90,135.83,8.59,30.04,140.31,-18.46,0.63,166.23,-23.52,-1.90,135.18,-8.29,24.14,132.40,-0.01,0.05,171.80,-0.04,0.09,177.70,-0.04,17.56,188.04,-0.31,6.27,209.65
5,0.167,-12.77,-0.14,113.91,12.77,-0.14,113.91,-0.00,0.00,130.96,-0.00,0.02,149.37,18.55,1.01,166.96,23.22,5.75,136.11,8.74,31.47,142.97,-18.47,0.53,166.21,-23.49,-1.44,135.12,-7.99,24.52,133.12,-0.03,0.06,171.80,-0.06,0.10,177.70,-0.04,17.60,188.00,-0.36,6.36,209.64
6,0.200,-12.77,-0.14,113.91,12.77,-0.14,113.92,-0.01,0.01,130.96,-0.03,0.04,149.37,18.51,1.25,167.06,23.21,7.60,136.50,8.90,32.70,145.64,-18.52,0.45,166.18,-23.44,-1.13,135.05,-7.81,24.79,133.65,-0.08,0.11,171.80,-0.13,0.17,177.70,-0.09,17.70,187.95,-0.51,6.52,209.62
7,0.233,-12.77,-0.14,113.91,12.77,-0.14,113.92,-0.01,0.01,130.96,-0.03,0.05,149.37,18.50,1.44,167.13,23.21,9.40,136.96,9.13,33.69,148.35,-18.53,0.35,166.16,-23.41,-1.02,135.02,-7.77,24.91,133.95,-0.09,0.12,171.80,-0.15,0.19,177.70,-0.09,17.74,187.91,-0.57,6.61,209.60
8,0.267,-12.77,-0.14,113.91,12.77,-0.14,113.92,-0.01,0.01,130.96,-0.03,0.05,149.37,18.49,1.64,167.21,23.21,11.18,137.50,9.38,34.48,151.06,-18.54,0.24,166.15,-23.38,-1.14,134.99,-7.89,24.88,133.97,-0.11,0.14,171.80,-0.17,0.21,177.70,-0.09,17.79,187.87,-0.65,6.71,209.58
9,0.300,-12.77,-0.14,113.91,12.77,-0.14,113.92,-0.01,0.01,130.96,-0.04,0.05,149.37,18.48,1.84,167.29,23.22,12.91,138.13,9.67,35.05,153.75,-18.56,0.14,166.13,-23.35,-1.28,134.98,-8.03,24.84,133.96,-0.13,0.15,171.80,-0.20,0.23,177.70,-0.09,17.83,187.83,-0.72,6.81,209.57
