leftfemurX,leftfemurY,rightfemurX,rightfemurY,waistX,waistY,upperspineX,upperspineY,rightshoulderX,rightshoulderY,rightelbowX,rightelbowY,rightwristX,rightwristY,leftshoulderX,leftshoulderY,leftelbowX,leftelbowY,leftwristX,leftwristY,neckX,neckY,headbaseX,headbaseY,sphnosetipX,sphnosetipY,sphheadtopX,sphheadtopY
346.0434485,385.8830042,249.7139685,385.4135868,297.9697546,321.8697874,298.0556678,252.6415655,227.9024535,187.3924367,210.4567919,302.4308089,263.8461467,334.2125372,368.0704501,189.3647123,387.2994616,303.0620981,333.513952,339.185005,298.1311555,167.8951826,298.1710696,145.5298825,297.1465788,110.7379508,298.3001798,24.9726607
346.0435712,385.8456247,249.7139685,385.4135868,297.9310996,321.8742713,297.936872,252.665677,227.5249613,187.1776971,210.6286534,304.6328603,260.9097238,321.0815766,367.8794091,189.2682843,387.2264424,302.7876294,333.9401128,339.4249988,297.8515036,167.9487692,297.7754793,145.5866277,296.5900993,110.8284492,297.1709769,25.05273797
346.0435712,385.8456247,249.7139685,385.4135868,297.9302405,321.8789279,297.8568068,252.6858519,227.1501671,186.8800518,210.5207974,305.4940351,257.2812419,305.457628,367.6883515,189.1718479,387.1908962,302.5223489,334.3667968,339.6600756,297.6114964,167.9956871,297.4575351,145.6372076,295.9957378,110.9158437,296.0057992,25.08752634
346.0435712,385.8456247,249.7139574,385.4509494,297.9293814,321.8835846,297.7758728,252.7101282,226.7723588,186.6651144,210.2559002,305.0469651,253.0475473,287.905884,367.4974198,189.1096962,387.0047126,302.280425,334.7933138,339.9333081,297.3316416,168.0871951,297.0997488,145.6941257,295.4765847,111.0481153,294.9516954,25.17014732
346.0436938,385.8082452,249.7139574,385.4509494,297.890725,321.8880688,297.6949309,252.7344068,226.4323333,186.4123776,209.5783037,303.1285103,248.3028457,268.8094469,367.2680218,189.0166846,386.8561825,302.0102329,335.1813975,340.1681423,297.0526517,168.1374106,296.7427317,145.7478263,294.8423686,111.1384241,293.7839869,25.24791106
346.0436938,385.8082452,249.7139574,385.4509494,297.8898656,321.8927256,297.5760953,252.7585274,226.0527557,186.2008119,208.6071387,299.8172257,243.3269529,249.006125,367.0772073,188.9166367,386.7458164,301.6938481,335.6468527,340.4365893,296.7727204,168.1910554,296.3466444,145.8425951,294.284188,111.3092332,292.6131154,25.3709191
346.0436938,385.8082452,249.7139574,385.4509494,297.8520681,321.892553,297.4951358,252.7828108,225.7095121,185.9549894,207.3930065,295.1751442,238.2066988,229.0381604,366.8862314,188.8544686,386.5975598,301.4477558,336.0741985,340.7380969,296.5687249,168.2450053,296.0637296,145.9030876,293.8408937,111.4448998,291.5953608,25.45601338
346.0436938,385.8082452,249.7139463,385.488312,297.8512083,321.8972099,297.4141683,252.8070965,225.3690485,185.7398141,205.9427814,289.4378844,232.9840428,209.628552,366.6950921,188.7579949,386.4492342,301.1732246,336.5005942,340.973006,296.2885918,168.3365924,295.7054646,145.9980492,293.2437424,111.6156721,290.4630018,25.57695645
346.0438164,385.7708656,249.7139463,385.488312,297.8116903,321.9063513,297.2953016,252.8312241,224.9889998,185.5658495,204.2638509,282.7692354,227.8502401,191.4012785,366.465767,188.6992537,386.300798,300.9032107,336.8883419,341.2458766,296.0084515,168.3902841,295.3091143,146.0549201,292.7237655,111.7481534,289.3667568,25.70259436
346.0438164,385.7708656,249.7139463,385.488312,297.8116903,321.9063513,297.2151836,252.8514125,224.7271704,185.3436761,202.4768474,275.3847842,223.1154093,174.6137466,366.3130712,188.6336338,386.1900467,300.6663685,337.2768144,341.4374723,295.8448744,168.4720878,295.0674529,146.1406371,292.2837119,111.8719379,288.429364,25.81515255
